Year	cd	State Code	State Name	Conccat	Bachelors_degree_or_higher	high_school_or_some_degree	Less_than_high_school_graduate	Less_than_$5000	$5000_to_$9999	$10000_to_$14999	$15000_to_$19999	$20000_to_$24999	$25000_to_$34999	$35000_to_$49999	$50000_to_$74999	$75000_to_$99999	$100000_to_$149999	$150000_or_more	Total_Agriculture_forestry_fishing_hunting_mining	Total_Construction	Total_Manufacturing	Total_Wholesale_trade	Total_Retail_trade	Total_Transportation_warehousing_utilities	Total_Information	Total_Finance_insurance_realestate_rental_leasing	Total_Professional_scientific_management_administrative_waste_management_services	Total_Educationalservices_healthcare_socialassistance	Total_Arts_entertainment_recreation_accommodation_foodservices	Total_Otherservices_except_Public_administration	Total_Public_administration	Male	Male_Agriculture_forestry_fishing_hunting_mining	Male_Construction	Male_Manufacturing	Male_Wholesale_trade	Male_Retail_trade	Male_Transportation_warehousing_utilities	Male_Information	Male_Finance_insurance_realestate_rental_leasing	Male_Professional_scientific_management_administrative_waste_management_services	Male_Educationalservices_healthcare_socialassistance	Male_Arts_entertainment_recreation_accommodation_foodservices	Male_Otherservices_except_Public_administration	Male_Public_administration	Female	Female_Agriculture_forestry_fishing_hunting_mining	Female_Construction	Female_Manufacturing	Female_Wholesale_trade	Female_Retail_trade	Female_Transportation_warehousing_utilities	Female_Information	Female_Finance_insurance_realestate_rental_leasing	Female_Professional_scientific_management_administrative_waste_management_services	Female_Educationalservices_healthcare_socialassistance	Female_Arts_entertainment_recreation_accommodation_foodservices	Female_Otherservices_except_Public_administration	Female_Public_administration
2021	1_KS	KS	Kansas	20211_KS	66936	193540	36776	5072	4534	8687	8639	9542	19846	29439	40073	27272	28496	17595	18659	11980	29206	6183	16157	11487	2919	8995	10037		7154	7155	9499	107852	16698	11118	22135	4656	8733	9954	1733	3357	5903	10590		4484	5078	75370	1961	862	7071	1527	7424	1533	1186	5638	4134		3741	2671	
2021	1_KY	KY	Kentucky	20211_KY	59791	251544	39516	9798	8993	15254	11702	12771	25161	31761	41562	28062	26381	15640	6931	12324	35811		17257	11603	1900	7675	10683	38034	8136	6530	9557	96342	6286	11049	26136	3001	9045	9172	1190	2797	6358	7629	4196	4406	5077	74058	645	1275	9675	958	8212	2431	710	4878	4325	30405	3940	2124	4480
2021	1_LA	LA	Louisiana	20211_LA	82590	188126	40169	6675	6222	8805	9377	8240	17505		32767	26810	30870	29423	8608	14239	13017	5666	17545	10949	2231	9995	18143	39599	11681	6930	9729	95235	7289	12712	11089	4685	8961	8825	1459	4129	11187	9426	5626	4099	5748	73097	1319	1527	1928	981	8584	2124	772		6956	30173	6055	2831	3981
2021	1_MA	MA	Massachusetts	20211_MA	150090		49550	9646	8897	17368		13929	29350	36447	55646		55982	53130	1471	15882	35953	8328	23988	15822	3620	21679		75822	13040	9602	16345	148519	886	14579	27211	6300	15018	12807	2132	9355		23689	7293		9872	115746	585	1303	8742	2028	8970	3015	1488	12324	8659	52133	5747	4279	6473
	1_MD	MD	Maryland	20211_MD	126637	263890	34600	7312	5358	7946	9016	8751		27913	42243	37525	51706	54596	4054	21842	22291	6173		12792	3642	16287	30069	56106	13456	9641	28650	137360	3292	19332	15763		12003	10042	2410	7271	19274	13255	7104	5935	16964	110020	762	2510	6528	1458		2750	1232	9016	10795	42851	6352	3706	11686
2021	1_ME		Maine	20211_ME		232395	21893	7133	4929	9779	10035	9620	20085		49029	42219	50713	46039	3360			6230	25758	10288	5291	24094	28460	62310	12280	8722	11140		2800	16897	22081	4548	14514	8229	2669	10686	17210	17674	6582	4552	7098	109091	560	1845	5875	1682	11244		2622	13408	11250	44636	5698	4170	4042
2021	1_MI	MI	Michigan	20211_MI	108615	324805	38940	10157	9480	16326	17199	17538	36710	50613	66843	46193	44362	26561	6605	17228	36940	4986	25491	11687	2664	12840	15060	50219	16202	8964	13972	127984	5522	15872	28359	3940	14148	9371	1624	4828	9006	12908	8664	5786	7956	94874	1083	1356	8581	1046	11343	2316	1040		6054	37311	7538	3178	
2021	1_MN	MN		20211_MN	135485	303768	34273	6672	5233	11645	11556	12521		38010	57681	46206	57094	43155	13834	19269	55194		23402	13004	4207	13105	17859	78491	10219	10201	11444	160917	12094	17907	40020	6603	14399	10661	2336	5244	10733	23176	5162	6535	6047	117911	1740	1362	15174	1996	9003		1871	7861	7126		5057	3666	5397
2021		MO	Missouri	20211_MO	139053		39632	13865	11637	16652	14081	15713	34240	41437	55791	34165	35639	26603	1073	8979	26740	6595	21659	15561	5098	20946	27453	68327	18898	10643	12277	120273	737	7956		4395	11232	11056	2734	7981	15772	19156	10868	4660	6023	123976	336	1023	9037	2200	10427	4505	2364	12965	11681	49171	8030	5983	6254
2021	1_MS	MS	Mississippi	20211_MS	89236	279476	54828	9532	8500	14692	14334	13711	26801	34060	45270	35820	35221	23736	3787	15600	50907	7116	23482	23153	2074	10816	16017	56471	11201	9861	9811	131626	3099	14746	35748	5142	13144	17632	1461	3788	8731		4821	5381	5450	108670	688	854	15159	1974	10338	5521	613	7028	7286	43988	6380	4480	4361
2021	1_MT	MT	Montana	20211_MT	109528	201423	19482	6203	5740	10288	8575	10591	22229	27669	41597	27886	31730	26560	8263	16260	12186	3630	20453	8147	2999	10312	18165	37449	12491	7296	9536	97092	6602	14816	9711	2937	11854	6594	1720	3696	11036	11984	6753	3956	5433	70095	1661	1444	2475	693	8599	1553	1279	6616	7129	25465	5738	3340	4103
2021	1_NC	NC	North Carolina	20211_NC	45454	185163	37478	7975	7923	13345	12149	12362	18838	27435	32375	20624	20142	11640	3023	10720	25840	3605	14046	8259	1576	7305	8831	30636	6706	5379	9704	70224	2460	9733	16658	2531	6765	6345	842	2636	5107	5803	2743	3590	5011	65406	563	987	9182	1074	7281	1914	734	4669	3724	24833	3963	1789	4693
2021	1_NE	NE	Nebraska	20211_NE	82205	141481	17528	3910	3072	4718	5771	5735	14375	19512	30493	20357	26149	19606	4186	11313	18626	3968	12011	8431	2911	12960	13306	34571	5655	6490	10501	83894		10394	14008	3060	7259	7025	1960	5267	7989	11111	2904	3618	5540	61035	427	919	4618	908	4752	1406	951	7693	5317	23460	2751	2872	4961
2021	1_NH	NH	New Hampshire	20211_NH	140271	220845	22866		3260	7298	7098	7071	14689	23485	39447		46986	53099	1178	16539	37141	6046		10648	5481	21016	29831	48778	12338	7837	10944		834	15013	27184	4522	13719	8164	3233	9588	19218	13123	6552		6724	97816	344	1526	9957	1524	9281	2484	2248	11428		35655	5786	2750	4220
2021	1_NJ	NJ	New Jersey	20211_NJ	163027	284491		8646	5891	10797	9147	11162		26497	44804	38030	56220	62716	871	17009	24316	10682	27762	18302	5829	23823	35660	67676	13302	9984	17487	150303	700	14899	17321	7609	16343	13777	3782		21346	19088	7575	5426	10646	122400	171	2110	6995	3073	11419	4525	2047	12032	14314	48588	5727		6841
	1_NM	NM	New Mexico	20211_NM	137722	281929	50303	13385	11012	16063	14938	14999	31089	40540	55188	36396	44658	32808	3880	20097		5388	22844	10607	4119	16158	36877	64253	17495	11005		135349	2747	18281	8734	4097	13216	8771	2503	6429	22545	19317	9664	6768	12277	112045	1133	1816	3354	1291	9628	1836	1616	9729	14332	44936	7831	4237	10306
2021	1_NV	NV	Nevada	20211_NV	56239	255163		13440	8459	11754	11147	12039	24270	31371	42197	26658	26644	19198	922	22282	9857	3443	21440	13351		10316	22682	26697	45023	9820		113117	840	20704	7358	2554	11298	9478	1338	4114	14073	7514	23801	6001	4044	81836	82	1578	2499	889		3873	599		8609	19183	21222	3819	3139
2021	1_NY	NY	New York	20211_NY	261740	332150	54326	7379	3710	7074	7160	7933	15093	24066	43211	38184	72149	129370	1585	31513	28275	12979	32743	20650	9323	33660	51997	101016	16777	11596	23482	216985	1179	28560	18979	9280	20718	16900	5541	18981	32723	31517	10590	6761	15256	158611	406	2953	9296	3699	12025	3750	3782	14679	19274	69499	6187	4835	8226
2021	1_OH	OH	Ohio	20211_OH	310946	427422	56455	16790	14743	18628	19168	21146	40589	56520	85290	66500	89408	96930		24979	75768	14051	43160	23707		43650	64553	103355	21977	15672	19416	262352	867	22626	55426	10123	23762	17858		21429	40905		12500	8909	12252	197934	343	2353	20342	3928	19398	5849	3581	22221	23648	72867		6763	7164
2021	1_OK	OK	Oklahoma		102952	191740	36751	7795	5284	7953	8380	9184	20899	28384	39364	26828	32139		4763	13389	24638	6625	19150	12689	5073	14723	22139	42310	13289	9331	7179	111807	3289	11986	19098	4649	11703	9883	3194	6696	12960	12639		5082	3826	83491		1403	5540	1976	7447	2806	1879		9179	29671	6487	4249	3353
2021	1_OR	OR	Oregon	20211_OR	168832	178461	26158	6359	4950	7520	6696	7331	15522	24286	36671	31434	43648	54159	2863	10620	40938	6784	21134	8706	4366	15006		39204		7004	8588	124852	2400	9555	30573	4996	12822	6513		7468	20182	12495	6474	3744	4623	85588	463		10365	1788	8312	2193	1359	7538	12911	26709	5660	3260	3965
2021	1_PA	PA	Pennsylvania	20211_PA	258112	307774	35525	6975	4261	7299	9395			31449	55472	48859	75022	108497	1352	28554	59706	13598	33366	16234	8493	35008	53812	88419	15609	13634	14308	219975	1033	25737		9683	20306	12780	5663	18550	32512	26587	8576	8016	8458	162118	319	2817	17632	3915	13060	3454	2830	16458	21300	61832	7033		5850
2021	1_RI	RI	Rhode Island	20211_RI	91798		26392	4158		7454	6424	6014	12535	16017	22784		27710	30149	598	9618	17491		13915	5614	1909		15685	36520	8760	4764	7672	76062	412	8958	12215	2221	8434	4306		5191	9065	12086	4762	2493	4645	60642	186	660	5276	797	5481	1308	635	5949	6620	24434	3998	2271	3027
2021	1_SC	SC	South Carolina	20211_SC	110620	164711	22697	6143	3029	4446	4944	7197	13395	20241	32034	27926	34455	38988	1194	13820	17836	3673	17090	8948	3173	11428	25790	37499	13507	6987	10856	96314	956	12228		2900	9508	6383	1572	5755	15828	9193	7009	4077	6939	75487		1592	3870	773	7582	2565		5673	9962	28306	6498	2910	3917
2021	1_TN	TN	Tennessee	20211_TN	105185	341245	53994	11699	10867	19075	21552	19642	37295	49229	61913	40306	38357	25172	2684	17669	47955	5876	28817	14723	3976	14789	19168	59193	20860	9872	10250	143542	2347	16360	35491	4312		11900	2703	5690	11169	15138	10519	6164	6086	112290	337	1309	12464	1564	13154	2823	1273		7999	44055	10341	3708	4164
2021	1_TX		Texas		69683	240869		7969	6690	10974	10172	10919	22918	28207	40978		30015	22899	10636	16291	26294	5846	20865	11695	2250	9735	14658	49573	10852	9537	10689	112504	9629	15061	19652	4527		9294	1184	4030	8712	11801	4808	6357	6138	86417	1007	1230	6642	1319	9554	2401	1066	5705	5946	37772	6044	3180	4551
2021	1_UT	UT	Utah	20211_UT	92360	229906	27105	3876	3076	4867	4290	5559	14522	21448	35571	29526	37268	26577	2963	16653	35787	4936	18404	9751	2189	11624	20434	33888	8904	5921	18792	120248	2483	15141	27241		10722	7667	1485	5756	13830	11863	4765	3993	11314	69998	480	1512	8546	948	7682	2084	704	5868	6604	22025	4139	1928	7478
2021	1_VA	VA	Virginia	20211_VA	199910	271058	37510	8014	5953	8567	9698	10491	22319	34212	56420	45664	65090	65074	1993	23596	26144	8268	27330	15107	4397	30331	39630	71258	15938	11950	26169	163255	1599	20999	19810	5421	15304	11473	2724	13328	24366	19250	8311	6218	14452	138856	394	2597	6334	2847	12026	3634		17003	15264	52008	7627	5732	11717
2021	1_WA	WA	Washington	20211_WA	288417	374262	47784	7203	5253	8365	8065	8756		30611	59356		87451	129391	2123	34271	64185	10056	43302	16743	15470	27554	82664	69608	19150	14330	16711	251730	1661	30451	49287	7160	25668	12749	11179	13436	53767	19259	9688	7745	9680	164437	462	3820	14898	2896	17634	3994	4291	14118	28897	50349	9462	6585	7031
2021	1_WI	WI	Wisconsin	20211_WI	172588	384207	48577	9344	6891	13509	12763	16104	31830	47891	76390	57897	72960	53722	4111	24670	82335	12910	34597	21329	5188	22507	31999	73833	17855	12222	15107	203944		22560	57819	8737	19704	16567	3005	9467	18855	17723	10642	6920	8383	154719	549	2110	24516	4173	14893	4762	2183	13040	13144	56110	7213	5302	6724
2021	1_WV	WV	West Virginia	20211_WV	101244	367015	64940	16633	16335	23485	23969	22074	40140	50489	62231	39968	40565	24524	9958	15130	20221	6089	27702	15677	4309	12392	19493	69395	14415	9528	20678	136783	9378	14071	17317	5105	15938	13281	2517	4999	11732		7385	6679	10617	108204	580	1059		984	11764	2396	1792	7393		51631	7030	2849	10061
2021		CA	California	202110_CA	340449	305488	54585	8352	5186	9275	6263	7046	16376	24591	45859	41662	74504	167277	1840	25564	34825	9785	30116	21435	13945	37763	84947	78692	18941	14967	20708	227652	1330	22148	24405	6345	18123			19186	53841	26948	11025	7582	11636	165876			10420	3440	11993	5609	4688	18577	31106	51744	7916	7385	9072
2021	10_FL	FL	Florida	202110_FL	234744		67772	14636	8902	14123	13674	18168	34803	50911	69594	49041	55641	49263	1172	28494	21994	9853	38206	26690	8247	30876	62182	78035	54455	15392	15931	214881	669	24649		7408	21496	19195	5666	15843	36668	22734	28182	8876	7713	176646	503	3845	6212	2445	16710	7495	2581	15033	25514	55301	26273	6516	8218
2021	10_GA	GA	Georgia		107599	269644	46606	9307	6630	10785		11560	24553	32373	46253	32080	38668	28562	2689	18162	30213	6427	22023		3574	11529	22216	54351	11509	9205	13251	123066	2167	15986	20514	4835	12009	12526	2221	5730	13357	14549	5587		7768	98533	522	2176	9699	1592	10014	3924	1353	5799	8859	39802	5922	3388	5483
2021	10_IL	IL	Illinois	202110_IL	207413	190997	36602	6457	3857	5823	6280	7694	16061	21477	35885	30163	47151	86141	856	11582	43817	12405	23604	11883	3990	27960	42558	45723	13944	8281	8747	150573	567	10576	28840	7948	14038		2371	17206	28094	14715	8309	4496	4518	104777	289	1006	14977	4457	9566	2988	1619	10754	14464	31008	5635	3785	4229
2021	10_MI		Michigan	202110_MI	115952	282716	40291	8070	5942	10462	11623		26382	38846	53140	41485	48631	34280	471	12396	60340		23319	11468	3255	18348	25969	44090	12994	8294	9091	134163	206	11190	45655	4833	13581	8682	1845	6823	14432	9855	7133		5058	102395	265	1206	14685	1690	9738	2786	1410	11525	11537	34235	5861	3424	4033
2021	10_NC	NC	North Carolina	202110_NC	133412	404429	75854	12598	9233	20190	19678		40053	56149	71883	50759	53169	40310	4014	24129	83270	11216	36916	22162	3966	16440	26626	63357	17107	14791	13798	195847	3235		56793	8386	20257	17361	3004	7901	16102	13719	9229		8517	141945	779	2383	26477	2830	16659	4801	962	8539	10524	49638	7878	5194	
2021	10_NJ	NJ		202110_NJ	200204	341551	71461	15196	12667	19325	14595	14270	29514	37551	57352	39779	52455	62151		22632	25019	9532	29732	34905	8503	32040	49694	74220	17662	13953	18188	186969	522	21301	16193	6278	17845	25644		18172	28261	20524	10023	7151	9930	149781	148	1331	8826		11887	9261	3378	13868	21433	53696	7639	6802	8258
2021	10_NY	NY	New York	202110_NY	391804	225037		15891	12371	20750	14848	14037	27123	34653	49981	43088	63547	137125	344	12900	12443	8469	25462	13946	27540	62759	85322	79344	30173	14250	13920	212543	281	11838	7593	5483	13343	11284	14899	39793	48915	26256	18951	6383	7524	174329	63	1062	4850	2986	12119	2662	12641	22966	36407	53088	11222	7867	6396
2021	10_OH	OH	Ohio	202110_OH	117991	296629	39466	10725	10581	14742	14867	14459	30673	41417	56660	40434	43556	33159	1785	12859	39780	5752	22453		3560	15132	25734	56190	11992	7413	18907	131457	1482	11421	30299	4570	11973	10542	2197	5916	16117	14492	5895	4626	11927	103393	303	1438	9481	1182	10480	2751	1363	9216	9617	41698	6097	2787	6980
2021	10_PA	PA	Pennsylvania	202110_PA	169187	350788	46476	8823	7440	10721	11738	14288	28576	44276	70343	55449	67790	53403	3187	20506	45731	12264	29464	27094	4617	26221	34858		14593	13752		190227	2576	18568	33347	8970	16525	21263	2909	11285	21974	19278	8234	8084	17214	147783	611	1938		3294	12939	5831	1708		12884	56649	6359	5668	12582
2021	10_TX	TX	Texas	202110_TX	143534	234881	40300	9285	7333	8621	8228	10009	18805	26411	38377	26557	37354		12744	20005	22317	6111	20018	10447	3376	12770	23832	54378	11992	8765	9473	127929	10933	17484	17203	4546	10888	8570	2266	6286	15302	16962	5718	5567	6204	88299	1811	2521	5114	1565	9130	1877	1110	6484	8530	37416	6274	3198	3269
2021	10_VA	VA	Virginia	202110_VA	296903	219115	41571	3419	2330	2823	2738	3971	9099		28327	31440	57429	134926	1666	26053	15848	4526	22982		11730	28546	103282	55501	15766	15847	39396	211441	1368	22853	10960	3193	13439	11287	8208	15802	68003	15120	8689	7466	25053	143829	298	3200	4888	1333	9543	2840	3522	12744	35279		7077	8381	14343
2021	10_WA	WA	Washington	202110_WA	71178	218348	26272	4264	2317	3420	4580	3973	9408	17678	31841	29927	39535	32453	1578	17649	18260	6853	17239	12506	2038	8071	15727	31372	8775	5599	16523	93411	1259	15997	14452	5018	9065	9611	1360	3147	9422	7947	3966		8972			1652	3808	1835		2895	678	4924	6305	23425	4809	2404	7551
2021		CA	California	202111_CA	377284	184143	45780	9608	6637	16829		9052	16165	21508	32820	29755	53840	155576	544	11012	21088	6111	28857	17755	27344	36995	105671	63055	26622	12039	13879	207717	353	9552			15173	13046	17067	21882	62234	21975	15853	5940	7241	163255	191	1460	7283	2515	13684	4709	10277	15113	43437	41080	10769	6099	6638
2021	11_FL	FL	Florida	202111_FL	103990	232662	39129	5810	5946	8562	10230	10933	25828	36226	52488	41251	45689	38211	2669		11040	6937	22040		3817	14651	25522	43148	24541	9585	10874	117424	1836	19308	8628	5102	12457	8059	2452	6262	15876	11675	14451	5238	6080	89656	833	2951	2412		9583	1938	1365	8389	9646	31473	10090	4347	4794
2021	11_GA	GA	Georgia	202111_GA		51877		1656	1037	1353	1121	1714	3676	5346	8713	9068	12852	19908	93	4746	7162	2561	6581	3247	1928	6370	13180	12050	3144	3006	2053	39206	82	4280	5298	1765	3888		1207	3600	8526	3462	1679	1635	1269	26915	11	466	1864	796	2693	732	721	2770	4654	8588	1465	1371	784
2021	11_IL	IL		202111_IL	320588	423043	71330	8770	5676	9445	10646	11602	25638	41810	71572	63144	100935	124509	2478	31098	84774	22014	44091	31667	9289	45772	68529	92039	24053	18724	16275	289504	1943	28155	59976	14753	25669	24380	6221	23283	43709		13514	11461	10429	201299	535	2943	24798	7261	18422	7287	3068	22489	24820	66028		7263	5846
2021	11_MI	MI	Michigan	202111_MI	220989	198619	24703	7434	5812	8851	8547	9543	21622	28130	44309	38676	53759	69490	548		61668	6611	19815	7364	4515	25558	43811	51197		8489	8134	154588	325	10931	46286	4850	11882	5197	2624	13455		15713	7496	4338	4609	108370	223	1247	15382	1761	7933	2167	1891	12103	16929	35484	5574	4151	3525
2021	11_NC	NC	North Carolina	202111_NC	122226	254943	40348	7336	7959	16034	15415	14045	31609	42064	52723	38170	39382	28119	2663	20705	29953	4711	23550	8623	2923	11991	20503	54706	21282	10320	10845	124488	2115	19307	21623	3467	13363	6845	1945	5531		14415	10972	6355		98287	548	1398	8330	1244	10187	1778	978	6460	8257	40291	10310	3965	4541
2021	11_NJ	NJ	New Jersey	202111_NJ	324600	262827	37316	7463	4724	8139	7344	9479	17019	24311	42267	41363	66757	140477	691	19970	42327	13872	28026	19643	15901	46225	64133	82604	15641	13403	17187	217967	429	18007	26895	8781	17315	15497	10143	27957	39706	26386	9377	6535	10939	161656	262	1963	15432	5091	10711	4146		18268	24427	56218	6264	6868	6248
2021	11_NY	NY	New York	202111_NY	121132	177081	34047	6337	3938	6335	5582	4834	11657	15863	26436	20581	34612	48838	269	14366	4968	3655	12175	15052	4618	18424	20873	56215	9909	6244	14071	100825	185	13187	3431	2611	7259	12276	2956	10365	13463		6066	3020	10571	80014	84	1179	1537	1044	4916	2776	1662	8059	7410	40780	3843		3500
2021	11_OH	OH	Ohio	202111_OH	177116	362416	60448	23242	21429	26466	24701		45614	58899	73671	47480	48054	40828	574	12948	44754	10306	27185	16778	5081	29006	36824	85904	20184	12316	16200	164976	346	11715	31682	7521	14986	12426	2928	13321		23748	10825	6461	8065	153084	228	1233	13072	2785	12199	4352	2153	15685	15872	62156	9359	5855	8135
2021	11_PA	PA	Pennsylvania	202111_PA	95951	208621	42514	3795	3168	6594		7859	17384	24928	41787	35130	43426	33246	4935	19129	38573	7839	20283	11511	3200	14207	19750	45419	8522	8428	7120	125142		17718	28710	5596	11824	8945	2180	5944	12406	12717	4511	5591	4896	83774	831	1411	9863	2243	8459	2566	1020	8263		32702	4011	2837	2224
2021	11_TX	TX	Texas	202111_TX	115435	383722	76112		9271	13018	12996	14703	31634	45778	62747	46026	55388	44008	33504	27154	20246	8067	29532	20906	3709	15647	25525	64204	17251	14331	24754	177582	28012	24991	15628	6127	16086	16932	2106	6103	14795	15848	7371	9017	14566	127248	5492	2163	4618	1940	13446		1603	9544	10730		9880	5314	10188
	11_VA	VA	Virginia	202111_VA	181663	79682	14778	2243	1522	1435	1703	1898	4137	7761	14224	16563	31050	75742	315	7079	6479	1516	8118	5680	6062	15572	59343	26778	8642	9321	25458		267	5949		1048	5115	4216	3866	8766	38272	7885	5205	3818	15455	76202	48	1130	2180	468	3003	1464	2196	6806	21071	18893	3437	5503	10003
2021	12_CA	CA	California	202112_CA	167786	143527	40250	6839	5048	9053	6156	6608	12649	16115	24671	20844	29971	55563	754	11062	12563	3688	13845	10127	8187	12543	39506	40400	12749	8980	8501	101444	599	10054	8194		8111	7415	4950	7014	23662	14749	6783	3978	3585	81461	155	1008	4369	1338	5734	2712	3237	5529	15844	25651	5966	5002	4916
2021	12_FL	FL	Florida	202112_FL	68671	248972		9352	7202	13691	14380	15506	30965	40787	51671	32967	32636	21154	1234		10532	3991	22656	10162	2554	12302	22261	40907	12010		10499	99003	970	16515	7767	3222	13378	8035	1976	5268	14025	9919	6319	4860		77124		2569	2765	769	9278	2127		7034	8236	30988	5691	3075	3750
2021	12_GA	GA	Georgia	202112_GA	89975	289789	53969	10154	9106	14020	14476	13183	24840		43915	28019	30474	23123	5607	15704	26109	4396	19005	16642	2419	8892	20354	52475	11057	7424	15246	111824	4715	14510	17751	3424	9532	13249	1587		12687	12969	5039	4763	8050	93506	892	1194	8358	972	9473	3393	832	5344	7667		6018	2661	7196
2021	12_IL	IL	Illinois	202112_IL	104355	336594		10118	9453	16436	16134	16538	30752	43273	58124	44332	48548	32220	12327	16210	42136	7302	24485	17075	3119	14449	16008	63586	10102	9878	16419	143938	11095	14950	31503	5571	13869	13792	2048	4849	9463	15066	4879	6339		109158	1232	1260	10633	1731	10616	3283	1071	9600	6545	48520	5223	3539	5905
2021	12_MI	MI	Michigan	202112_MI	134644	358795	64238	18013	16033	18104	17224	17725	34741	47735		41758	46197	32726	645	11132	53493	6382	21505	18863	3614		30070	58556	15354	9255	10648	138747	456	9668	39269	4656	12234	13207	1998	8031	17035	13936	7962	5346		122102	189	1464		1726	9271	5656	1616	13301	13035	44620	7392	3909	5699
2021	12_NC	NC	North Carolina	202112_NC	114658	147025	23661	4285	2694	4333	4498	5022	12303	21392	29802	22940	29056	30552	500	12385	16056	6068	16021	12175	4421	27059	23486	31189	9775	7474	4756	92785	415	10833	10891	4158	8872	8719	2705	13372		7559	4967	3773	2773	78580	85	1552	5165	1910		3456		13687	9738	23630	4808	3701	1983
2021	12_NJ	NJ	New Jersey	202112_NJ	146059	132109	17319	3905	2929	5118	3700	4830	9023	14046	22955	21886	32639	56218	382		20107	6022	11766	9944	6052	20400	31700	38772	5968	4740	10247	98205	294	7087	12466	4182		7518	4086	12150	19857	11542	3590	2592	5682	75843	88	861	7641	1840	4607	2426	1966	8250	11843	27230	2378	2148	4565
2021	12_NY	NY	New York	202112_NY	373927	121828	25878	14549		14482	12497	10182	18815	22022		34162	54592	152625	126	6334	11007	6124	17438	5935	20549	69885	78023		18045	11569	11045	170848	69	4433	5884	3228	8240	4553	9539	44976	43415	26558	10162	4040	5751	156496	57	1901	5123	2896	9198	1382	11010	24909	34608	44706	7883	7529	5294
2021	12_OH	OH	Ohio	202112_OH	154672	407933	64217	9765	11002	15187	14952	16541	34344	48239	71024	54568	65297	51548	6692	28248		9964	34300	22748		28089	28208	81849	15227	12144	18967	200553	5827	25949		6914	19527	17865	2802	12849	17247	21982	7551	7713	11580	146409	865	2299	12904	3050	14773	4883	2073	15240	10961	59867		4431	
	12_PA	PA	Pennsylvania		205472	278525	26548	14235		18734	16501	16300	34653	44168	60373	45388	53876	45036	1436	14105	25943	6854	24566	15512	5718	30982	40773	86640	15843	12034	11177	157907	1059	12871	19849	5166	13523	11655	3801	14824	24685	29128	8769	6273	6304	133676	377	1234	6094	1688	11043	3857	1917	16158	16088	57512	7074		4873
2021	12_TX	TX	Texas	202112_TX	226836	449232	107213	11042	7754	13892	12812	15567	35499	51055	80417	63784	82878	76664	7689	43580	55914	15493	47508	43753	6726		50846	91046	25650	20488	18787	272830	6061	39671	41811		27014	32669	4423	18378	31159	23918	13279		11212	194955	1628	3909	14103	4302	20494	11084	2303	21927	19687	67128	12371	8444	7575
2021	13_CA	CA	California	202113_CA	35268	172876	74105	5543	3714	6693	5993	6297	13156	18206	24996	17207	19999	14809	15844	11663	14751	5281	11584	10118	975	3350	8255	23427	5389	5025	6889	78614	13715	11272	11174	4007	6699	8316	643	1347	5129	6326	2824	3648	3514	43937	2129	391	3577		4885	1802	332	2003	3126	17101	2565	1377	3375
2021	13_FL	FL	Florida	202113_FL			28805	9343	5432	10098	11398		25058	35213	46669	33424	39692	36028	766	12943	17580	6270	21305	8684		22597	31883	45022	14588	9484	8797	108962	576	11256	12550	4376	12379	5989	2457	10354	18573	12806	8087	4920	4639	94906	190	1687	5030	1894	8926	2695	1492	12243	13310		6501	4564	4158
2021	13_GA	GA	Georgia	202113_GA	205331		70895	11677	8331	11968	13733	16381	35576	51580	79741	58384	62820	49250	1266	24562	31475	12861	37688	51201	11460	26405	53255	82700	26789	14437	27020	203981	858	22619	20822	9183	18827	34502	6825	9568		18417	12981	7596	12394	197138	408	1943	10653		18861	16699	4635	16837	23866	64283	13808		14626
2021	13_IL	IL	Illinois	202113_IL	182577	389065	44829	17868	12833	17797	16964	18865	35797	49770		52560	62499	51738	4878		38124		29250	22623	5689	23780	33617	89637	17034	12612	24950	177372	4196	15940	28783	6355	16688	17077	3084	10098	19675	26375	8503		13492	151202	682	1898	9341	2187	12562	5546	2605	13682	13942		8531	5506	
	13_MI	MI	Michigan	202113_MI	74735	239569	55904	14509	14673	16129	13563	13078	26742	32261	37492	23470	23574	18560	375	7519	34248	4064	13301	11322	2188	10521	17623	34792	12606	6141	6604	87376	308	6923	24540	2776	7370	7699	1091			8997		3423	2852	73928	67	596	9708	1288	5931	3623	1097	5897	7444	25795	6012	2718	3752
2021	13_NC	NC	North Carolina	202113_NC	163468	257340	48139	7224	5097	9339	8591	11184	23216	31007	48391	36284	51897	39817	1768	26235	30634	7206	22886	13700	6709	19954	42509	53582	16113	9860		153292	1379	23926	21330	5234	13923	9796	5101	9346	24996	14313	9253	5797	8898	116381		2309	9304	1972	8963	3904	1608	10608	17513		6860	4063	9619
2021	13_NY	NY	New York	202113_NY	114096	128938	49401	7857	8999	12635	8178	6957	12781	16498	24754	18264	20843	21977	122	4700	4779	2885	11145	7801	6976	13468	19815	43682	16854	7761	5671	76900	99	4267	3078	2024	6561	6490	3414	8299	11245	14953	10387	3716	2367		23	433	1701	861	4584	1311	3562	5169	8570	28729	6467	4045	3304
2021	13_OH	OH	Ohio	202113_OH	185328	383916	43175	12913	12067	17114	17572	19993	38958	53194	76400	56462	65866	53637	2375	21630	65667	12437	34298	20980	4940	25494	34545	77670	16876	14000	13719	195951	1982	19225	49802	8906	19716	15191	2971		21312	20038	8387	8795	8668	148680	393	2405	15865	3531	14582	5789	1969	14536	13233	57632	8489	5205	5051
