Year	cd	State Code	State Name	Conccat	Bachelors_degree_or_higher	high_school_or_some_degree	Less_than_high_school_graduate	Less_than_$5000	$5000_to_$9999	$10000_to_$14999	$15000_to_$19999	$20000_to_$24999	$25000_to_$34999	$35000_to_$49999	$50000_to_$74999	$75000_to_$99999	$100000_to_$149999	$150000_or_more	Total_Agriculture_forestry_fishing_hunting_mining	Total_Construction	Total_Manufacturing	Total_Wholesale_trade	Total_Retail_trade	Total_Transportation_warehousing_utilities	Total_Information	Total_Finance_insurance_realestate_rental_leasing	Total_Professional_scientific_management_administrative_waste_management_services	Total_Educationalservices_healthcare_socialassistance	Total_Arts_entertainment_recreation_accommodation_foodservices	Total_Otherservices_except_Public_administration	Total_Public_administration	Male	Male_Agriculture_forestry_fishing_hunting_mining	Male_Construction	Male_Manufacturing	Male_Wholesale_trade	Male_Retail_trade	Male_Transportation_warehousing_utilities	Male_Information	Male_Finance_insurance_realestate_rental_leasing	Male_Professional_scientific_management_administrative_waste_management_services	Male_Educationalservices_healthcare_socialassistance	Male_Arts_entertainment_recreation_accommodation_foodservices	Male_Otherservices_except_Public_administration	Male_Public_administration	Female	Female_Agriculture_forestry_fishing_hunting_mining	Female_Construction	Female_Manufacturing	Female_Wholesale_trade	Female_Retail_trade	Female_Transportation_warehousing_utilities	Female_Information	Female_Finance_insurance_realestate_rental_leasing	Female_Professional_scientific_management_administrative_waste_management_services	Female_Educationalservices_healthcare_socialassistance	Female_Arts_entertainment_recreation_accommodation_foodservices	Female_Otherservices_except_Public_administration	Female_Public_administration
2020	3_MI	MI	Michigan	20203_MI	220689	428167	57544	9417	10187	13211	16372	20933	36035	55390	83901	61858	71381	49513	4288	23794	103981	17873	34013	17023			36117	80474	18393	15367	9970	230010	3411	21925	74109	13142	19193	13198	3460	11024	22825	24019	9248		5346		877	1869	29872	4731	14820	3825	1951	12269	13292	56455	9145		4624
2020	3_MN	MN	Minnesota	20203_MN	213548	208739		3735	3223	5213	5671	6495	14501	24391	41048	36634	58550	81324	1660	16204	52671	12024	26324	12069	5299	37517	41286		10821	9040	8883	165018	1161	14763	36569	8855	15319	9428	3365	18930	25335	15497	6232	4891	4673	122536	499	1441	16102	3169	11005	2641	1934		15951	38259	4589	4149	4210
2020	3_MO	MO	Missouri	20203_MO	200365	368716	46022	8653	8956	12817	13901	15981	31635	48931	69689	54530	67048	50921	5319	26887	51471	11918	34258	18601		34620	33158	80963	17040	13210	23359		4437	24710	36874	8594	20894	14798	4543	15677	19174	21403	9609	7740	11589	158411	882	2177	14597		13364	3803	3106	18943	13984	59560	7431	5470	11770
2020	3_MS	MS		20203_MS	91300	289853	55106	13645	14076		17844	17468	29824	34770	45028	29830	31213		7516	16507	31286	5985	22349	14818	2746	12525	13085	61986	11045	8524	13657	119875	6861	15220	22378	4404	12828	11463	1848	5127	7570	14162	5146	5598	7270	102154	655	1287	8908	1581	9521		898	7398	5515	47824	5899	2926	6387
2020	3_NC	NC	North Carolina	20203_NC	127815	440999	68311	13904	14810	22793	20968	21364	46727	59327	75026	50181	48652	26862	10273	25322	39720	7290	30430	15237	3896	14731	22343	71416	18805	12589	24658	164399	8757	23006	27353	5809	16068	11811	2370	5970	12744	17530	9422	7913	15646	132311	1516	2316	12367	1481	14362	3426	1526	8761	9599	53886	9383	4676	9012
	3_NE	NE	Nebraska	20203_NE	92809	284886	38742	7504	8518	13758	13719	14796	30410	43623	60661	42231	42741	23417		20670	41640	9436	25478	20394	3545	14489	13155	57706	9526	12119	13157	158099	24880	19123	29627	7621	14187	17387	2156	5161	7085	12347	4923	7698	5904	111333	3237	1547	12013	1815	11291	3007	1389	9328	6070	45359	4603	4421	7253
2020	3_NJ	NJ	New Jersey	20203_NJ	261668	325158	41370	7635	6143	9364	11465	12835	22583	34168	55390	49226	71682	106412	1276		31360	13447		21520	9606	38569	52839	83998	15063	12335	27586	206218	771	20398	21740	9653	18997	16565	6515	21578	32351	25644	9429	6649	15928	156069	505	2141	9620	3794		4955	3091	16991	20488	58354	5634	5686	11658
2020	3_NM	NM		20203_NM	115883	353765	77444	13723	13793	19022	17615	18100	33640	44739	61162	41416	45716	35105	20042	21084	12142	5175	28416	15225	3456	12570	30906	63693		13104	28308	156640	17518	19232	9312	4021	15956	12598	2251	5894	19005	16782		8315	15451	118466	2524	1852	2830	1154	12460		1205	6676	11901	46911	10680	4789	12857
2020	3_NV	NV	Nevada	20203_NV	215327	495710	79326	16625	9235	13277	17720	17845	42093	64417	88551	66967	75642	67372	1129	27681	17439	9795	45139	29071	8514	30896	56276	72454	111116	16841	17430	248351	908	24300	12733	6854	24889		5555	14065	33910	22210	61346	9437	9987	195430	221	3381	4706	2941	20250	6914	2959	16831	22366	50244	49770		7443
2020	3_NY	NY	New York	20203_NY	140340	90653	13640	3345	2089	3012	2855	3279	6747	8305	15635	14906	26508	62008	329	7174	7659	6279	10718	6798	4700	21069	23647	38099	7844	5163	6434	88013	280	6273	5379	4435	6991	5468	2772	14395	15535	14366		2668	4375	57900	49	901	2280	1844	3727		1928	6674	8112	23733	2768	2495	2059
2020	3_OH	OH	Ohio	20203_OH	244949	322844	48667	12387	11945		15495	15792	34731	51645	68001	48430		49766	815	13241	29377	10192	36284	21814	8257	44354	45927	87605	22076	11478	18371	187935	549	11526		6776	20151	16341	5030	22631	28621	27692	12285	5770	8851	161856	266	1715	7665		16133	5473	3227	21723	17306	59913	9791	5708	9520
	3_OK	OK	Oklahoma	20203_OK	79653	297470	65214	11312		15206	15128	17284	31435	41069	53327	33525	33346	17217	19920	20008	26743	7446	24491	15276	3439	11155	14362	50287	14467	10181	16651	135678	16963	18870	20531	5352	13168	12446	2009	3501	8164	12327	6406	6351	9590	98748	2957	1138	6212	2094			1430	7654	6198	37960	8061	3830	7061
2020	3_OR	OR	Oregon	20203_OR	102596	168975	35051	4589	4857	6857	6630	7388	14764	21630	32430	22387	30248	25518		10882	20790	5995	15964	11718	3614	10168	22161	35465	12460	6840	8094	93833	1994	9548		4369	9255	8798	1708	4462	13132	11193	6708	3637	3730	72743	431	1334	5491	1626	6709		1906		9029	24272	5752	3203	4364
2020	3_PA	PA	Pennsylvania	20203_PA	226261	322288		25815	22882	22944	20193	18233	34635	44299	57702	41279	41785	45298	422	8089	17713	5838	20529	16856	7554	25893	44252	100208	20430	13405	19151	146999	292	7456	11706	3960	11239	12408	4216	13462	24355	32112	11578	5977	8238		130	633	6007	1878	9290	4448	3338	12431	19897	68096	8852	7428	10913
2020	3_SC	SC	South Carolina	20203_SC	83326	241645		10401	8353	14300	14618		28154		43211	28989		19267	2064	13839	45253	5548	18036	11058	2486		15760	46564	9037	7574	8221	109391	1833	12793	32025	3865	9462	8283	1728	3143	10033	11716	4829	4888	4793	83988	231	1046	13228	1683	8574	2775	758	4796	5727	34848	4208	2686	3428
2020	3_TN	TN	Tennessee	20203_TN	139143	374403	61593	11970	12562	20380	19849	19232	41151	53331	70133	47763	51187	34496	2534	23121	57079	7373	29856	22385	4195	24217	30441	65638	17873	14130	14257	178722	2020	21061	41620	5485	16985	17669	2927	9484	18160	16962	9212	8122	9015	134377	514	2060	15459	1888	12871	4716	1268	14733	12281	48676		6008	5242
